Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
Jan 2005,100,100,100,100,100,100,305800,346800,306300,360800,222100,200900
Feb 2005,100.4,100.6,101,100.5,100,99.9,307100,348900,309500,362700,222200,200600
Mar 2005,100.9,101.1,101.3,101.2,100.2,100.1,308500,350700,310300,365000,222600,201100
Apr 2005,101.4,101.8,102.1,101.8,100.7,100.3,310100,352900,312700,367400,223600,201500
May 2005,101.9,102.4,102.9,102.3,101,101,311700,355000,315100,369000,224400,203000
Jun 2005,102.4,102.9,103,102.9,101.6,101.4,313200,356900,315400,371100,225600,203700
Jul 2005,102.8,103.3,103.4,103.4,101.9,101.7,314400,358300,316600,373000,226400,204300
Aug 2005,103.3,103.9,104.2,103.9,102.4,102,316000,360300,319300,374700,227400,205000
Sep 2005,103.9,104.3,104.7,104.3,102.9,102.6,317600,361700,320700,376400,228600,206100
Oct 2005,104.5,105,105.4,104.9,103.4,103,319500,364100,322900,378500,229600,206900
Nov 2005,105,105.5,105.4,105.7,103.6,103.2,321000,366000,322900,381200,230200,207300
Dec 2005,105.6,106,106.4,105.9,104,104.9,322900,367500,325800,382100,231000,210700
Jan 2006,106,106.5,106.7,106.5,104.5,105,324300,369500,326900,384100,232000,210900
Feb 2006,106.4,106.7,107,106.7,104.6,105.6,325400,370000,327600,384900,232400,212200
Mar 2006,106.9,107.5,108.4,107.2,105.5,105.5,327000,372800,331900,386800,234400,212000
Apr 2006,107.5,108,108.4,108,106,106.2,328600,374600,331900,389600,235400,213300
May 2006,107.8,108.6,109,108.4,106.3,106.1,329500,376600,333900,391200,236100,213100
Jun 2006,107.8,108.3,109,108.1,106.6,106.4,329500,375700,333800,390200,236700,213700
Jul 2006,107.9,108.5,109.1,108.3,107.1,106.5,330100,376400,334200,390900,237800,213900
Aug 2006,108.1,108.6,109,108.6,107.3,106.3,330500,376700,333800,391900,238300,213600
Sep 2006,108.4,108.8,108.8,108.9,107.6,107.2,331400,377300,333300,393000,239000,215400
Oct 2006,108.5,109,109,109,107.8,107.5,331900,377900,333900,393200,239400,216000
Nov 2006,108.9,109.2,109.6,109.1,108.4,108.5,332900,378600,335700,393600,240800,217900
Dec 2006,109.1,109.7,110.3,109.5,108.7,107.4,333700,380300,337800,395100,241400,215700
Jan 2007,109.7,110.1,111,110,109,108.4,335500,381900,340000,396700,242200,217700
Feb 2007,110.7,111.1,111.8,110.9,109.9,109,338400,385200,342400,400200,244000,219000
Mar 2007,111.3,111.8,112.2,111.7,110.2,110.2,340500,387800,343600,403000,244800,221300
Apr 2007,112,112.5,113.1,112.3,110.9,111,342500,390100,346400,405200,246200,222900
May 2007,112.9,113.3,113.6,113.2,111.7,112,345100,392900,348000,408600,248100,225100
Jun 2007,113.8,114.3,114.9,114.2,112.5,112.7,348000,396400,351800,411900,249800,226500
Jul 2007,114.6,115.1,115.5,115,113,113.5,350300,399000,353900,414900,250900,228100
Aug 2007,115.1,115.6,115.9,115.5,113.5,114.4,352100,401000,355100,416900,252100,229900
Sep 2007,115.8,116.3,116.6,116.3,114,114.9,354100,403500,357200,419700,253200,230900
Oct 2007,116.6,117.3,117.2,117.4,114.6,115.6,356700,406700,359100,423400,254600,232300
Nov 2007,117.4,118.1,118.3,118.1,115.1,116.4,359000,409400,362200,426000,255600,233900
Dec 2007,118.2,118.7,118.7,118.8,115.9,116.9,361400,411700,363500,428700,257400,234900
Jan 2008,118.7,119.1,118.8,119.4,116.6,118,363100,413100,363900,430800,258900,237100
Feb 2008,119.2,119.5,118.7,119.8,116.6,119.1,364600,414500,363700,432300,259000,239200
